id,title,description,link,price,availability,image_link,gtin,mpn,brand,update_type
1,Tarjeta Xbox Gamepass Ultimate 1 Mes Codigo,Tarjeta Xbox Gamepass Ultimate 1 Mes Codigo tarjeta xbox Gamepass Ultimate 1 mes NO SE NESESITA VPN,https://www.gamestoremercadoshopscom.ml/MLM-1585091398-tarjeta-xbox-gamepass-ultimate-1-mes-codigo-_JM,122 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_674642-MLM52199125062_102022-O.webp,00679628201535,,Microsoft,merge
2,Microsoft Xbox Series S 512GB Standard color blanco,Microsoft Xbox Series S 512GB Standard color blanco Con tu consola Xbox Series tendrás entretenimiento asegurado todos los días. Su tecnología fue creada para poner nuevos retos tanto a jugadores principiantes como expertos. La nueva generación de consolas está comandada por la Xbox Series que llegó al mercado para sorprender a todos. Su potencia y alto rendimiento te permitirá reducir las horas de descarga de juegos y contenido de manera considerable en comparación con otras consolas. Además vas a poder jugar durante horas mientras te diviertes con jugadores de todo el mundo.Adaptada a tus necesidadesGuarda tus apps fotos videos y mucho más en el disco duro que cuenta con una capacidad de 512 GB.Al contar con un procesador de 8 núcleos y uno gráfico brinda una experiencia dinámica respuestas ágiles y transiciones fluidas de imágenes en alta definición.Por otro lado tiene puerto USB y salida HDMI que permiten conectar accesorios y cargar la batería de tu control mientras juegas.Vas a poder reproducir música ver tus películas y series f,https://www.gamestoremercadoshopscom.ml/microsoft-xbox-series-s-512gb-standard-color-blanco/p/MLM16650345,4860 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_771415-MLA44492818319_012021-O.jpg,00679628201542,,Microsoft,merge
3,Nintendo Switch OLED 64GB Standard color blanco y negro,Nintendo Switch OLED 64GB Standard color blanco y negro Con tu consola Switch tendrás entretenimiento asegurado todos los días. Su tecnología fue creada para poner nuevos retos tanto a jugadores principiantes como expertos. Switch se convirtió en una de las consolas más versátiles del mercado gracias a su uso portátil y de sobremesa. Nintendo desarrolló este modelo con el objetivo de tener todas las comodidades de la tecnología de elite en un aparato portátil con el que podrás jugar y disfrutar de diverso contenido online.Los Joycon cuentan con botones especiales para realizar print de pantalla. Además posee una cámara infrarroja que puede leer la distancia respecto a los objetos e incluso detectar formas.Adaptada a tus necesidadesGuarda tus apps fotos videos y mucho más en el disco duro que cuenta con una capacidad de 64 GB.Al contar con un procesador de 8 núcleos y uno gráfico brinda una experiencia dinámica respuestas ágiles y transiciones fluidas de imágenes en alta definición.Por otro lado tiene puerto USB y salida HDMI que permiten c,https://www.gamestoremercadoshopscom.ml/nintendo-switch-oled-64gb-standard-color-blanco-y-negro/p/MLM18537259,6398 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_969606-MLA47920420604_102021-O.jpg,00679628201559,,Nintendo,merge
4,Microsoft Xbox Series X 1TB Standard color negro,Microsoft Xbox Series X 1TB Standard color negro Con tu consola Xbox Series tendrás entretenimiento asegurado todos los días. Su tecnología fue creada para poner nuevos retos tanto a jugadores principiantes como expertos. La nueva generación de consolas está comandada por la Xbox Series que llegó al mercado para sorprender a todos. Su potencia y alto rendimiento te permitirá reducir las horas de descarga de juegos y contenido de manera considerable en comparación con otras consolas. Además vas a poder jugar durante horas mientras te diviertes con jugadores de todo el mundo.Adaptada a tus necesidadesGuarda tus apps fotos videos y mucho más en el disco duro que cuenta con una capacidad de 1 TB.Al contar con un procesador de 8 núcleos y uno gráfico brinda una experiencia dinámica respuestas ágiles y transiciones fluidas de imágenes en alta definición.Por otro lado tiene puerto USB y salida HDMI que permiten conectar accesorios y cargar la batería de tu control mientras juegas.Vas a poder reproducir música ver tus películas y series fav,https://www.gamestoremercadoshopscom.ml/microsoft-xbox-series-x-1tb-standard-color-negro/p/MLM16160759,9718 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_850214-MLA45046473101_032021-O.jpg,00679628201573,,Microsoft,merge
5,Sony PlayStation 5 825GB Standard color blanco y negro,Sony PlayStation 5 825GB Standard color blanco y negro Con tu consola PlayStation 5 tendrás entretenimiento asegurado todos los días. Su tecnología fue creada para poner nuevos retos tanto a jugadores principiantes como expertos. PlayStation renovó las expectativas del mundo virtual con esta nueva consola y su gran rendimiento. Cuenta con una interfaz de usuario más rápida y fácil de navegar que en anteriores modelos. Además podrás jugar durante horas desafiando a millones de contrincantes alrededor del mundo que esperan nuevos retos.Calidad de otro nivelSe considera que esta consola es de las mejores dentro del mercado dado que presenta una resolución de hasta 4K.Además el control DualSense para PS5 combina estilo y tecnología para que jugar sea más cómodo e interactivo para todos sus jugadores.Adaptada a tus necesidadesGuarda tus apps fotos videos y mucho más en el disco duro que cuenta con una capacidad de 825 GB.Al contar con un procesador de 8 núcleos y uno gráfico brinda una experiencia dinámica respuestas ágiles y transiciones flui,https://www.gamestoremercadoshopscom.ml/sony-playstation-5-825gb-standard-color-blanco-y-negro/p/MLM16171888,11339 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_841787-MLA44484414455_012021-O.jpg,00679628201580,,Sony,merge
6,Nintendo Switch 32GB Standard color rojo neón azul neón y negro,Nintendo Switch 32GB Standard color rojo neón azul neón y negro Con tu consola Switch tendrás entretenimiento asegurado todos los días. Su tecnología fue creada para poner nuevos retos tanto a jugadores principiantes como expertos. Switch se convirtió en una de las consolas más versátiles del mercado gracias a su uso portátil y de sobremesa. Nintendo desarrolló este modelo con el objetivo de tener todas las comodidades de la tecnología de elite en un aparato portátil con el que podrás jugar y disfrutar de diverso contenido online.Nintendo Switch es una consola desmontable que puede usarse en modo portátil sobremesa o en la TV esto te brindará la posibilidad de utilizarla donde quieras y compartir sus controles.Los Joycon cuentan con botones especiales para realizar print de pantalla. Además posee una cámara infrarroja que puede leer la distancia respecto a los objetos e incluso detectar formas.Adaptada a tus necesidadesGuarda tus apps fotos videos y mucho más en el disco duro que cuenta con una capacidad de 32 GB.Al contar con un procesador de 8 n,https://www.gamestoremercadoshopscom.ml/nintendo-switch-32gb-standard-color-rojo-neon-azul-neon-y-negro/p/MLM8755483,4859 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_817201-MLA40692089527_022020-O.jpg,00679628201597,,Nintendo,merge
7,Sony PlayStation 5 825GB Digital Edition color blanco y negro,Sony PlayStation 5 825GB Digital Edition color blanco y negro Con tu consola PlayStation 5 tendrás entretenimiento asegurado todos los días. Su tecnología fue creada para poner nuevos retos tanto a jugadores principiantes como expertos. PlayStation renovó las expectativas del mundo virtual con esta nueva consola y su gran rendimiento. Cuenta con una interfaz de usuario más rápida y fácil de navegar que en anteriores modelos. Además podrás jugar durante horas desafiando a millones de contrincantes alrededor del mundo que esperan nuevos retos.Calidad de otro nivelSe considera que esta consola es de las mejores dentro del mercado dado que presenta una resolución de hasta 4K.Además el control DualSense para PS5 combina estilo y tecnología para que jugar sea más cómodo e interactivo para todos sus jugadores.Adaptada a tus necesidadesGuarda tus apps fotos videos y mucho más en el disco duro que cuenta con una capacidad de 825 GB.Al contar con un procesador de 8 núcleos y uno gráfico brinda una experiencia dinámica respuestas ágiles y transiciones flui,https://www.gamestoremercadoshopscom.ml/sony-playstation-5-825gb-digital-edition-color-blanco-y-negro/p/MLM16253015,10934 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_791396-MLA47058527002_082021-O.jpg,00679628201603,,Sony,merge
8,Grand Theft Auto V Standard Edition Rockstar Games Xbox 360 Físico,Grand Theft Auto V Standard Edition Rockstar Games Xbox 360 Físico Con este juego de Grand Theft Auto vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.,https://www.gamestoremercadoshopscom.ml/grand-theft-auto-v-standard-edition-rockstar-games-xbox-360-fisico/p/MLM6084029,396 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_602952-MLA49211407962_022022-O.jpg,00679628201610,,Grand Theft Auto,merge
9,Red Dead Redemption 2 Standard Edition Rockstar Games Xbox One Físico,Red Dead Redemption 2 Standard Edition Rockstar Games Xbox One Físico Ambientado a fines del siglo XIX y comienzos del XX Red Dead narra la historia del bandido John Marston quien es chantajeado por agentes federales que además tienen amenazada a su familia. Es una franquicia de videojuegos que combina sus modernos gráficos y una gran cantidad de desafíos para sus gamers. Su completa historia hace que sea considerado por la crítica especializada como uno de los mejores juegos dentro del género aventura en los últimos años.Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.,https://www.gamestoremercadoshopscom.ml/red-dead-redemption-2-standard-edition-rockstar-games-xbox-one-fisico/p/MLM14807282,223 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_854892-MLA46792259812_072021-O.jpg,00679628201627,,Red Dead,merge
10,Grand Theft Auto V Standard Edition Rockstar Games Xbox One Físico,Grand Theft Auto V Standard Edition Rockstar Games Xbox One Físico Con este juego de Grand Theft Auto vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.,https://www.gamestoremercadoshopscom.ml/grand-theft-auto-v-standard-edition-rockstar-games-xbox-one-fisico/p/MLM6084026,566 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_736292-MLA44367309853_122020-O.jpg,00679628201634,,Grand Theft Auto,merge
