id	title	description	link	price	availability	image_link	gtin	mpn	brand	update_type
1	Huge Hell Rock	Huge Hell Rock 	https://www.gamestoreml.store/es/item/huge-hell-rock/5faba6fa-dc39-4e71-884d-4ea6b4cd6d03.html	1.00 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:039c205e-d2ab-4c73-a119-6b2eea7bff2d/5faba6fa-dc39-4e71-884d-4ea6b4cd6d03/e5daa740-20e6-42e0-bb8b-e0fe7da98f38/640x640.webp	00679628201535		Huge Hell Rock	merge
2	Mega Alicorn ( no potion )	Mega Alicorn ( no potion ) 	https://www.gamestoreml.store/es/item/mega-alicorn-no-potion-/d1845e04-083f-4165-b4d0-1a7c5cfe1fec.html	10.00 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:e24ed364-6fcf-4e02-8282-3f9fbd26db52/d1845e04-083f-4165-b4d0-1a7c5cfe1fec/c1da6941-19bc-41c5-a594-1c39722f7b2e/640x640.webp	00679628201542		Mega Alicorn ( no potion )	merge
3	Robux | 2000x	Robux | 2000x 	https://www.gamestoreml.store/es/item/robux-2000x/24547b73-5e35-4e07-89a3-720f120e97ae.html	9.99 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:13590915-a6cf-46cb-919c-3e5825a34404/24547b73-5e35-4e07-89a3-720f120e97ae/be13c1e3-7419-4842-95a4-5243a734a841/640x640.webp	00679628201559		Robux | 2000x	merge
4	Standard | Black	Standard | Black 	https://www.gamestoreml.store/es/item/standard-black/63852cb1-a269-41ff-855d-7e094b09a313.html	8.89 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/63852cb1-a269-41ff-855d-7e094b09a313/3c9160e3-e73e-4cd5-8d2e-3f0cdaf06d01/640x640.webp	00679628201573		Standard | Black	merge
5	Fennec	Fennec 	https://www.gamestoreml.store/es/item/fennec/86ef7c91-40fe-4a9f-a17d-1202fafddfdd.html	1.89 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/86ef7c91-40fe-4a9f-a17d-1202fafddfdd/9d6772c2-0b90-4753-8dac-433583c36549/640x640.webp	00679628201580		Fennec	merge
6	Credit | 6 000C	Credit | 6 000C 	https://www.gamestoreml.store/es/item/credit-6-000c/16805ed7-60a4-4644-b8df-56b08fd363bb.html	23.95 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/16805ed7-60a4-4644-b8df-56b08fd363bb/e22dec87-38d4-45f0-b06e-b0ff4d176d97/640x640.webp	00679628201597		Credit | 6 000C	merge
7	Stern | Black	Stern | Black 	https://www.gamestoreml.store/es/item/stern-black/b5ad224e-db01-4f7f-9147-e2445397885c.html	2.35 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/b5ad224e-db01-4f7f-9147-e2445397885c/0882ecb4-f2cd-495a-af9a-d85235bc4a0b/640x640.webp	00679628201603		Stern | Black	merge
8	Credit | 5 000C	Credit | 5 000C 	https://www.gamestoreml.store/es/item/credit-5-000c/78231192-5aec-4641-b069-7161875806f1.html	19.95 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/78231192-5aec-4641-b069-7161875806f1/6300e04b-df4c-46de-814c-314387731828/640x640.webp	00679628201610		Credit | 5 000C	merge
9	Credit | 1 500C	Credit | 1 500C 	https://www.gamestoreml.store/es/item/credit-1-500c/55eb3298-3d46-416d-8186-f6fd080017db.html	5.95 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/55eb3298-3d46-416d-8186-f6fd080017db/cac55cdf-618c-4564-92df-5f9b3d3aca7a/640x640.webp	00679628201627		Credit | 1 500C	merge
10	Credit | 2 000C	Credit | 2 000C 	https://www.gamestoreml.store/es/item/credit-2-000c/d9edbb6f-652d-48ad-b155-0fedba9c70c0.html	7.95 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/d9edbb6f-652d-48ad-b155-0fedba9c70c0/0b7d5a3b-5763-4243-94e5-ee55fc7c1daf/640x640.webp	00679628201634		Credit | 2 000C	merge
